ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3249473,"Avidom, Menahem",阿维当,,1908-1995,以色列,作曲,波兰裔,2017-08-08
3249474,"Avison, Charles",阿维森,,1709-1770,英国,作曲,nan,2017-08-08
3249475,"Avraham, Gerald",阿布拉罕,,1904-1988,英国,音乐著作,nan,2017-08-08
3249476,"Avshalomov, Aaron","阿夏洛莫夫,阿隆",,1894-1965,俄国,作曲,nan,2017-08-08
3249477,"Avshalomov, Jacob","阿夏洛莫夫,雅各",,1919-2013,美国,作曲；指挥,俄裔,2017-08-08
3249478,"Axman, Emil",阿克斯曼,,1887-1949,捷克,作曲,nan,2017-08-08
3249479,"Ayala-Pérez, Daniel",阿雅拉－贝雷斯,,1906-1975,墨西哥,作曲,nan,2017-08-08
3249480,"Azabagic, Denis    ",阿萨巴吉许,,1972-,波士尼亚,吉他,nan,2017-08-08
3249481,"Azesberger, Kurt    ",阿杰斯贝格,,1960-,奥地利,声乐,男高音,2017-08-08
3249482,"Azevedo, Sérgio",阿杰维多,,1968-,葡萄牙,作曲,nan,2017-08-08
3249483,"Azopardi, Francesco",阿佐帕尔第,,1748-1809,马尔他,作曲,nan,2017-08-08
3249484,"Babbitt, Milton",巴比特,,1916-2011,美国,作曲；萨克斯管,nan,2017-08-08
3249485,"Babell, William",巴贝尔,,1690-1723,英国,古钢琴；小提琴,nan,2017-08-08
3249486,"Babin, Victor",巴宾,,1908-1972,美国,钢琴,nan,2017-08-08
3249487,"Baca, Daniel Anthony",巴卡,,1977-,美国,作曲,nan,2017-08-08
3249488,"Baccaloni, Salvatore",巴卡洛尼,,1900-1969,义大利,声乐,男低音,2017-08-08
3249489,"Bacewicz, Grazyna",巴采维琪,,1909-1969,波兰,小提琴；作曲,nan,2017-08-08
3249490,"Bach, Carl Philipp Emanuel","巴赫,卡尔‧菲利普‧艾曼纽",,1714-1788,德国,作曲,nan,2017-08-08
3249491,"Bach, Jan","巴赫,杨",,1937-,美国,作曲,nan,2017-08-08
3249492,"Bach, Johann Christian","巴赫,约翰‧克里斯提安",,1735-1782,德国,作曲,nan,2017-08-08
3249493,"Bach, Johann Christoph Friedrich","巴赫,约翰‧克利斯托夫‧弗里德利希",,1732-1795,德国,作曲,nan,2017-08-08
3249494,"Bach, Johann Jakob","巴赫,约翰‧雅科伯",,1682-1722,德国,双簧管,nan,2017-08-08
3249495,"Bach, Johann Sebastian","巴赫,约翰‧瑟巴斯提安",,1685-1750,德国,管风琴,nan,2017-08-08
3249496,"Bach, P.D.Q.","巴赫,P.D.Q.",,1742-1807,德国,作曲,nan,2017-08-08
3249497,"Bach, Vincent","巴赫,文森",,1890-1976,美国,小号；铜管乐器制造,nan,2017-08-08
3249498,"Bach, Wilhelm Friedemann","巴赫,威廉‧弗利德曼",,1710-1784,德国,作曲,nan,2017-08-08
3249499,"Bachauer, Gina",巴考尔,,1913-1976,希腊,钢琴,nan,2017-08-08
3249500,"Bache, Walter",巴奇,,1842-1888,英国,钢琴,nan,2017-08-08
3249501,"Bachelet, Alfred",巴许列,,1864-1944,法国,作曲,nan,2017-08-08
3249502,"Back(h)ofen, Johann Georg Heinrich",巴科芬,,1768-1839,德国,作曲,nan,2017-08-08
3249503,"Bäck, Sven-Erik",贝克,,1919-1994,瑞典,作曲,nan,2017-08-08
3249504,"Backer-Grøndahl, Agathe",巴克－葛伦达尔,,1847-1907,挪威,作曲,nan,2017-08-08
3249505,"Backhaus, Wilhelm",巴克豪斯,,1884-1969,德国,钢琴,nan,2017-08-08
3249506,"Bacon, Ernst",贝肯,,1898-1990,美国,作曲；钢琴；指挥,nan,2017-08-08
3249507,"Bacquier, Gabriel",巴基耶,,1924-,法国,男中音,nan,2017-08-08
3249508,"Badarczewska, Tekla",巴达婕芙丝卡,,1834-1861,波兰,作曲,nan,2017-08-08
3249509,"Badia, Carlo Agostino",巴迪亚,,1672-1738,义大利,作曲,nan,2017-08-08
3249510,"Badings, Henk",巴定思,,1907-1987,荷兰,作曲,nan,2017-08-08
3249511,"Badura-Skoda, Paul",巴杜拉－司科达,,1927-,奥地利,钢琴,nan,2017-08-08
3249512,"Baer, Morris",巴尔莫里斯,,1868-1938,美国,作曲,nan,2017-08-08
3249513,"Bahr-Mildenburg[Mildenburgvon Bellschau], Anna",巴尔－米尔登伯格,,1872-1947,美国,声乐,女高音,2017-08-08
3249514,"Bailey, Lilian","白利,丽莲",,1860-1901,美国,声乐,女高音,2017-08-08
3249515,"Bailey, Norman","白利,诺曼",,1933-,英国,声乐,男中音,2017-08-08
3249516,"Baillie, Isobel","白莉,伊索贝尔",,1895-1983,英国（苏格兰）,声乐,女高音,2017-08-08
3249517,"Baillot, Pierre",拜悠,,1771-1842,法国,小提琴；作曲,nan,2017-08-08
3249518,"Bailly, Louis",拜伊,,1882-1974,法国,中提琴,nan,2017-08-08
3249519,"Bainbridge, Simon",班布里奇,,1952-,英国,单簧管；作曲,nan,2017-08-08
3249520,"Baines, Anthony Cuthbert","贝恩斯,安东尼",,1912-1997,英国,音乐学,nan,2017-08-08
3249521,"Baines, William","贝恩斯,威廉",,1899-1922,英国,作曲,nan,2017-08-08
3249522,"Bainton, Edgar Leslie",贝恩顿,,1880-1956,英国,作曲,nan,2017-08-08
3249523,"Baird, Tadeusz",贝尔德,,1928-1981,波兰,作曲,nan,2017-08-08
3249524,"Bairstow, Edward",贝尔斯妥,,1874-1946,英国,作曲,nan,2017-08-08
3249525,"Bajer, Jiri",巴耶尔,,1925-,捷克,双簧管；音乐学,nan,2017-08-08
3249526,"Bakaleinikov, Vladimir","巴卡雷尼科夫,弗拉迪米尔",,1885-1953,美国,指挥；中提琴,俄国裔,2017-08-08
3249527,"Baker, Janet","贝克,珍妮特",,1933-,英国,声乐,次女高音,2017-08-08
3249528,"Baker, Julius","贝克,朱利斯",,1915-2003,美国,长笛,nan,2017-08-08
3249529,"Baker, Theodore","贝克,狄奥多尔",,1851-1934,美国,音乐学,nan,2017-08-08
3249530,"Baksa, Robert",巴克萨,,1938-,美国,作曲,nan,2017-08-08
3249531,"Bakst, Ryszard",巴克斯特,,1926-1999,波兰,钢琴,nan,2017-08-08
3249532,"Balada, Leonardo",巴拉达,,1933-,西班牙,作曲,nan,2017-08-08
3249533,"Balakirev, Mily Alexeyevich",巴拉基列夫,,1837-1910,俄国,钢琴；作曲,nan,2017-08-08
3249534,"Balanchivadze, Andry",巴兰奇瓦兹,,1906-1992,俄国,作曲,nan,2017-08-08
3249535,"Balart, Gabriel",巴拉尔,,1824-1893,西班牙,小提琴；作曲,nan,2017-08-08
3249536,"Balbastre, Claude-Benigne",巴巴斯特尔,,1727-1799,法国,作曲,nan,2017-08-08
3249537,"Balbulus, Notker",巴布鲁斯　,,840-912,瑞士,作曲,nan,2017-08-08
3249538,"Baldissera, Livio",巴尔迪瑟拉,,1947-,义大利,作曲,nan,2017-08-08
3249539,"Baldwin, Dalton",包德温,,1931-,美国,钢琴,nan,2017-08-08
3249540,"Balfe, Michael William",巴尔佛,,1808-1870,爱尔兰,作曲,伴奏,2017-08-08
3249541,"Balkwill, Bryan",巴克威尔,,1922-2007,英国,指挥,歌剧,2017-08-08
3249542,"Ball, Derek","波尔,德瑞克",,1949-,英国,作曲,nan,2017-08-08
3249543,"Ball, Eric","波尔,艾瑞克",,1903-1989,英国,作曲；指挥,nan,2017-08-08
3249544,"Ball, Ernest R.","波尔,厄内斯特",,1878-1927,美国,通俗音乐,nan,2017-08-08
3249545,"Ball, Michael","波尔,麦可",,1946-,英国,作曲,nan,2017-08-08
3249546,"Ballif, Claude",巴利夫,,1924-2004,法国,作曲,nan,2017-08-08
3249547,"Balling, Michael",巴林,,1866-1925,德国,指挥,nan,2017-08-08
3249548,"Balmer, Luc",巴尔梅,,1898-1996,俄国,指挥；作曲,nan,2017-08-08
3249549,"Balsam, Artur",巴尔萨姆,,1906-1994,波兰,钢琴,nan,2017-08-08
3249550,"Bamberger, Carl",班贝格尔,,1902-1987,美国,指挥；教育,奥地利裔,2017-08-08
3249551,"Bamboschek, Giuseppe",班伯斯凯克,,1890-1969,义大利,指挥,nan,2017-08-08
3249552,"Bampton, Rose",班普顿,,1908-2007,美国,声乐,女高音,2017-08-08
3249553,"Banchieri, Adriano",班凯利,,1568-1634,义大利,作曲,nan,2017-08-08
3249554,"Banfield, Raffaello de",班费尔德,,1922-2008,义大利,作曲,nan,2017-08-08
3249555,"Banjamin, George","班杰民,乔治",,1960-,英国,作曲,nan,2017-08-08
3249556,"Bank, Jacques",班克,,1943-,荷兰,作曲,nan,2017-08-08
3249557,"Banks, Don",班克斯,,1923-1980,澳大利亚,长号；作曲,nan,2017-08-08
3249558,"Banshchikov, Gennady",班希奇科夫,,1943-,俄国,作曲,nan,2017-08-08
3249559,"Banti-Giorgi, Brigida",班蒂,,1757-1806,义大利,声乐,女高音,2017-08-08
3249560,"Bantock, Granville",班托克,,1868-1946,英国,作曲,nan,2017-08-08
3249561,"Barati, George",巴拉悌,,1913-1996,匈牙利,作曲,nan,2017-08-08
3249562,"Baratta, María de",巴拉达,,1890-1978,萨尔瓦多,作曲,nan,2017-08-08
3249563,"Barber, Chris","巴伯,克里斯",,1930-,英国,爵士乐长号,nan,2017-08-08
3249564,"Barber, Samuel","巴伯,撒姆尔",,1910-1981,美国,作曲,nan,2017-08-08
3249565,"Barbieri, Fedora","巴尔别里,费朵拉",,1919-2003,义大利,声乐,次女高音,2017-08-08
3249566,"Barbieri, Francisco","巴尔别里,弗朗西斯科",,1823-1894,西班牙,作曲,nan,2017-08-08
3249567,"Barbieri-Nini, Marianna",巴尔别里－妮妮,,1820-1887,义大利,声乐,女高音,2017-08-08
3249568,"Barbirolli, Evelyn","巴比罗利,艾维林",,1911-2008,英国,双簧管,nan,2017-08-08
3249569,"Barbirolli, John","巴比罗利,约翰",,1899-1970,英国,大提琴；指挥,nan,2017-08-08
3249570,"Barbosa, Antonio",巴尔伯萨,,1943-,巴西,钢琴,nan,2017-08-08
3249571,"Barboteu, Georges",巴伯特,,1924-2006,法国,法国号,nan,2017-08-08
3249572,"Barce, Ramon",巴尔塞,,1928-2008,西班牙,作曲,nan,2017-08-08
3249573,"Barchan, Stephen Mark",巴成,,1982-,英国,作曲,nan,2017-08-08
3249574,"Bardi, Giovanni de'",巴尔迪,,1534-1612,义大利,作曲,nan,2017-08-08
3249575,"Bárdos, Lajos",巴多斯,,1899-1986,匈牙利,作曲,nan,2017-08-08
3249576,"Bardwell, William",巴德威尔,,1915-1994,英国,作曲,nan,2017-08-08
3249577,"Barenboim, Daniel",巴伦波因,,1942-,以色列,钢琴；指挥,nan,2017-08-08
3249578,"Bargiel, Woldemar",巴尔基,,1828-1897,德国,作曲,nan,2017-08-08
3249579,"Bargielski, Zbigniew",巴格耶斯基,,1937-,波兰,作曲,nan,2017-08-08
3249580,"Barie, Augustin",巴利,,1883-1915,法国,作曲,nan,2017-08-08
3249581,"Barker, John","巴克尔,约翰",,1931-,英国,指挥,nan,2017-08-08
3249582,"Barker, Warren","巴克尔,华伦",,1923-2006,美国,作曲,nan,2017-08-08
3249583,"Barletta, Alejandro",巴尔列达,,1925-2008,阿根廷,作曲,nan,2017-08-08
3249584,"Barlow, Alan","巴洛,艾伦",,1927-,美国,指挥,nan,2017-08-08
3249585,"Barlow, Clarence","巴洛,克拉伦斯",,1945-,印度,作曲,nan,2017-08-08
3249586,"Barlow, David","巴洛,大卫",,1927-1975,美国,作曲,nan,2017-08-08
3249587,"Barlow, Fred","巴洛,弗莱德",,1881-1951,法国,作曲,nan,2017-08-08
3249588,"Barlow, Howard","巴洛,霍华德",,1912-1972,美国,指挥,nan,2017-08-08
3249589,"Barlow, Samuel L.M.","巴洛,撒姆尔",,1892-1982,美国,作曲；钢琴,nan,2017-08-08
3249590,"Barlow, Wayne","巴洛,韦恩",,1912-1996,美国,作曲,nan,2017-08-08
3249591,"Barmann, Carl","巴尔曼,卡尔",,1811-1885,德国,单簧管；作曲,nan,2017-08-08
3249592,"Bärmann, Heinrich","贝尔曼,海因利希",,1784-1847,德国,单簧管,nan,2017-08-08
3249593,"Barnabé, Arrigo",巴纳贝,,1951-,巴西,作曲,nan,2017-08-08
3249594,"Barnard, Keith",巴纳德,,1950-,英国,作曲,nan,2017-08-08
3249595,"Barnby, Joseph",班比,,1838-1896,英国,作曲；指挥；管风琴,nan,2017-08-08
3249596,"Barnett, John Francis","巴内特,约翰‧弗朗西斯",,1837-1916,英国,作曲；钢琴,nan,2017-08-08
3249597,"Barnett, John Manley","巴内特,约翰,曼利",,1917-2013,美国,指挥,nan,2017-08-08
3249598,"Barns, Ethel",班丝,,1880-1948,英国,作曲；小提琴,nan,2017-08-08
3249599,"Baron, Samuel",巴伦,,1925-1997,美国,长笛；指挥,nan,2017-08-08
3249600,"Barraine, Elsa",巴瑞内,,1910-1999,法国,作曲,nan,2017-08-08
3249601,"Barraqué, Jean",巴拉凯,,1928-1973,法国,作曲,nan,2017-08-08
3249602,"Barraud, Henry",巴洛,,1900-1997,法国,作曲,nan,2017-08-08
3249603,"Barrere, Georges",巴瑞尔,,1876-1944,美国,长笛,法裔,2017-08-08
3249604,"Barrientos, Maria",巴莲多丝,,1883-1946,西班牙,声乐,花腔女高音,2017-08-08
3249605,"Barrington, Rutland",巴林顿,,1853-1922,英国,声乐,男低音,2017-08-08
3249606,"Barrios Mangoré, Augustín","巴里欧斯,奥古斯丁",,1885-1944,巴拉圭,吉他；作曲,nan,2017-08-08
3249607,"Barrios, Angel","巴里欧斯,安赫尔",,1882-1964,西班牙,作曲；吉它；小提琴,nan,2017-08-08
3249608,"Barry, Gerald","白瑞,杰拉德",,1952-,爱尔兰,作曲,nan,2017-08-08
3249609,"Barry, John","白瑞,约翰",,1933-2011,英国,作曲,nan,2017-08-08
3249610,"Barsanti, Francesco",巴尔桑悌,,1690-1760,义大利,长笛；双簧管,nan,2017-08-08
3249611,"Barshai, Rudolf Borisovich",巴夏,,1924-2010,俄国,小提琴；指挥,nan,2017-08-08
3249612,"Barsova, Valeriya Vladimirovna",巴尔索娃,,1892-1967,俄国,声乐,女高音,2017-08-08
3249613,"Barstow, Josephine",巴丝桃,,1940-,英国,声乐,女高音,2017-08-08
3249614,"Barth, Christian Samuel","巴尔特,克里斯坦萨姆尔",,1735-1809,德国,双簧管,nan,2017-08-08
3249615,"Barth, Hans","巴尔特,汉斯",,1897-1956,德国,钢琴；作曲,nan,2017-08-08
3249616,"Barth, Richard","巴尔特,理查",,1850-1923,德国,小提琴,nan,2017-08-08
3249617,"Barthelemon, Francois-Hippolyte",巴特勒蒙,,1741-1808,法国,小提琴；作曲,nan,2017-08-08
3249618,"Bartlett, Ethel",巴特莉特,,1896-1978,英国,钢琴,nan,2017-08-08
3249619,"Bartók, Béla",巴尔托克,,1881-1945,匈牙利,作曲；钢琴,nan,2017-08-08
3249620,"Bartoletti, Bruno",巴尔托雷第,,1926-2013,义大利,指挥,nan,2017-08-08
3249621,"Bartolomeo, Campagnoli",康帕纽利,,1751-1827,义大利,小提琴；指挥；作曲,nan,2017-08-08
3249622,"Bartolozzi, Bruno",巴尔托洛齐,,1911-1980,义大利,小提琴；作曲,nan,2017-08-08
3249623,"Barwahser, Hubert",巴尔瓦瑟,,1906-2005,荷兰,长笛,nan,2017-08-08
3249624,"Barylli, Walter",巴瑞利,,1921-,奥地利,小提琴,nan,2017-08-08
3249625,"Barzin, Leon",巴尔赞,,1900-1999,美国,指挥,比利时裔,2017-08-08
3249626,"Barzun, Jacques",巴尔赞,,1907-2012,美国,音乐史,nan,2017-08-08
3249627,"Basegmezler, Nejat",巴瑟梅兹勒,,1950-,土耳其,作曲,法裔,2017-08-08
3249628,"Bass, Randol Alan",巴斯,,1953-,美国,作曲,nan,2017-08-08
3249629,"Bassani, Giovanni Battista",巴萨尼,,1657-1716,义大利,小提琴；作曲,nan,2017-08-08
3249630,"Bassi, Carolina","巴锡,卡洛琳娜",,1781-1862,义大利,声乐,女低音,2017-08-08
3249631,"Bassi, Luigi","巴锡,路易吉",,1766-1825,义大利,声乐,男中音,2017-08-08
3249632,"Bastianini, Ettore",巴斯提阿尼尼,,1922-1967,义大利,声乐,男中音,2017-08-08
3249633,"Bate, Stanley",贝特,,1913-1959,英国,作曲；钢琴,nan,2017-08-08
3249634,"Bath, Hubert",巴兹,,1883-1945,英国,作曲,nan,2017-08-08
3249635,"Báthory-Kitsz, Dennis",巴托利奇兹,,1949-,美国,作曲,nan,2017-08-08
3249636,"Batiste, Antoine",巴悌斯特,,1820-1876,法国,管风琴；作曲,nan,2017-08-08
3249637,"Batka, Richard",巴特卡,,1868-1922,捷克,音乐学,nan,2017-08-08
3249638,"Batterham, Andrew",巴特罕,,1968-,澳大利亚,作曲,nan,2017-08-08
3249639,"Battishill, Jonathan",巴替希尔,,1738-1801,英国,管风琴,nan,2017-08-08
3249640,"Battistini, Mattia",巴提斯替尼,,1856-1928,义大利,声乐,男中音,2017-08-08
3249641,"Batton, Desire-Alexandre",巴通,,1798-1855,法国,作曲,nan,2017-08-08
3249642,"Baudo, Serge",玻多,,1927-,法国,指挥,nan,2017-08-08
3249643,"Baudrier, Yves",玻德里耶,,1906-1988,法国,作曲,nan,2017-08-08
3249644,"Bauer, Harold","包尔,哈洛德",,1873-1951,英国,钢琴,nan,2017-08-08
3249645,"Bauer, Marion","包尔,玛蓉",,1887-1955,美国,作曲；著作,nan,2017-08-08
3249646,"Bauld, Alison",包尔德,,1944-,澳大利亚,作曲,nan,2017-08-08
3249647,"Baumann, Herman",包曼,,1934-,德国,圆号；法国号,nan,2017-08-08
3249648,"Baur, Jurg",鲍尔,,1918-2010,德国,作曲,nan,2017-08-08
3249649,"Bautista, Julian",包迪斯达,,1901-1961,西班牙,作曲,nan,2017-08-08
3249650,"Bax, Arnold",巴克斯,,1883-1953,英国,作曲,nan,2017-08-08
3249651,"Bayle, François",贝勒,,1932-,法国,作曲,nan,2017-08-08
3249652,"Bayliss, Colin",贝利斯,,1948-,英国,作曲,nan,2017-08-08
3249653,"Bazelon, Irwin",贝兹隆,,1922-1995,美国,作曲,nan,2017-08-08
3249654,"Bazzini, Antonio",巴齐尼,,1818-1897,义大利,小提琴；作曲,nan,2017-08-08
3249655,"Beach, Amy Marcy Cheney",毕琦,,1867-1944,美国,钢琴；作曲,nan,2017-08-08
3249656,"Beach, John Parsons",毕奇,,1877-1953,美国,作曲,nan,2017-08-08
3249657,"Beamish, Sally",毕蜜希,,1956-,英国,作曲,nan,2017-08-08
3249658,"Bean, Hugh",毕安,,1929-2003,英国,小提琴,nan,2017-08-08
3249659,"Beard, John","比尔德,约翰",,1717-1791,英国,男高音,nan,2017-08-08
3249660,"Beard, Paul","比尔德,保罗",,1901-1989,英国,小提琴,nan,2017-08-08
3249661,"Bechet, Sidney",比切特,,1897-1959,美国,爵士乐萨氏管,nan,2017-08-08
3249662,"Beck, Conrad","贝克,康拉德",,1901-1989,瑞士,作曲,nan,2017-08-08
3249663,"Beck, Franz Ignaz","贝克,弗朗兹",,1734-1809,德国,作曲,nan,2017-08-08
3249664,"Beck, Hermann","贝克,赫尔曼",,1929-,德国,音乐学,nan,2017-08-08
3249665,"Beck, Johann H.","贝克,约翰",,1856-1924,美国,作曲；指挥；小提琴,nan,2017-08-08
3249666,"Beck, Karl","贝克,卡尔",,1814-1879,奥地利,声乐,男高音,2017-08-08
3249667,"Becker, Günther Hugo","贝克尔,根特",,1924-2007,德国,作曲,nan,2017-08-08
3249668,"Becker, Hugo","贝克尔,胡果",,1863-1941,德国,大提琴,nan,2017-08-08
3249669,"Becker, John Joseph","贝克尔,约翰",,1886-1961,美国,作曲,nan,2017-08-08
3249670,"Becker, Reinhold","贝克尔,莱因厚德",,1842-1924,德国,作曲；小提琴；指挥,nan,2017-08-08
3249671,"Beckett, Brian","贝克特,布莱恩",,1950-,爱尔兰,作曲,nan,2017-08-08
3249672,"Beckett, Walter","贝克特,华尔特",,1914-1996,爱尔兰,作曲,nan,2017-08-08
3249673,"Beckmann[Reed], Judith",贝克曼[里德],,1935-,美国,声乐,女高音　,2017-08-08
3249674,"Beckwith, John",贝克维思,,1927-,加拿大,作曲；钢琴,nan,2017-08-08
3249675,"Bedford, David","贝德福特,大卫",,1937-2011,英国,作曲,nan,2017-08-08
3249676,"Bedford, Herbert","贝德福特,赫伯特",,1867-1945,英国,作曲,nan,2017-08-08
3249677,"Bedford, Luke",贝德福特，路克,,1978-,英国,作曲,nan,2017-08-08
3249678,"Bedford, Steuart","贝德福特,史都华",,1939-,英国,指挥；钢琴,nan,2017-08-08
3249679,"Beecham, Thomas",毕勤,,1879-1961,英国,指挥,nan,2017-08-08
3249680,"Beecke, Ignaz von",贝可,,1733-1803,德国,作曲,nan,2017-08-08
3249681,"Beeckmans, Laurent",贝克曼斯,,1967-,比利时,作曲,nan,2017-08-08
3249682,"Beeson, Jack",毕森,,1921-2010,美国,作曲,nan,2017-08-08
3249683,"Beethoven, Ludwig van",贝多芬,,1770-1827,德国,作曲,nan,2017-08-08
3249684,"Beets, Sonja",毕慈,,1953-,荷兰,作曲,nan,2017-08-08
3249685,"Beglarian, Grant",贝格拉里安,,1927-,美国,作曲,nan,2017-08-08
3249686,"Behrend, Arthur Henry",贝伦德,,1854-1936,美国,作曲,俄裔,2017-08-08
3249687,"Behrens, Hildegard",贝伦丝,,1937-2009,德国,声乐,女高音,2017-08-08
3249688,"Beiderbecke, Bix",贝德贝克,,1903-1931,美国,小号；作曲,nan,2017-08-08
3249689,"Beier, Franz",拜耶尔,,1857-1914,德国,作曲,nan,2017-08-08
3249690,"Beinum, Eduard van",范 拜农,,1901-1959,荷兰,指挥,nan,2018-05-31
3249691,Bekku Sadao,别宫贞雄,,1922- 2012,日本,作曲,nan,2017-08-08
3249692,"Belaubre, Louis-Noël",玻勒伯尔,,1932-,法国,作曲,nan,2017-08-08
3249693,"Belcastro, Luca",贝尔卡斯特罗,,1964-,义大利,作曲,nan,2017-08-08
3249694,"Belcke, Christian Gottlieb","贝尔凯,克里斯提安",,1796-1875,德国,长笛,nan,2017-08-08
3249695,"Belcke, Friedrich August","贝尔克,弗里德利希‧奥古斯特",,1795-1874,德国,作曲；长号,nan,2017-08-08
3249696,"Belden, George R.",贝尔登,,1939-,美国,作曲,nan,2017-08-08
3249697,"Belelieu, Jonathan",贝勒柳,,1984-,加拿大,作曲,nan,2017-08-08
3249698,"Beliaev, Andrei",比利耶夫,,1979-,白俄罗斯,作曲,nan,2017-08-08
3249699,"Bell, Derek F.","贝尔,德瑞克",,1935-2002,北爱尔兰,作曲,nan,2017-08-08
3249700,"Bell, William Henry","贝尔,威廉",,1873-1946,英国,作曲,nan,2017-08-08
3249701,"Bellaigue, Camille",贝列格,,1858-1930,法国,乐评,nan,2017-08-08
3249702,"Belletti, Giovanni Battista",贝雷悌,,1813-1890,义大利,声乐,男中音,2017-08-08
3249703,"Bellezza, Vincenzo",贝雷查,,1888-1964,义大利,指挥,nan,2017-08-08
3249704,"Bellincioni, Gemma[Cesira Matilde]",贝琳裘妮,,1864-1950,义大利,声乐,女高音,2017-08-08
3249705,"Bellini, Vincenzo",贝利尼,,1801-1835,义大利,作曲,nan,2017-08-08
3249706,"Bellman, Carl Michael",贝尔曼,,1740-1795,瑞典,作曲,nan,2017-08-08
3249707,"Belloc, Enrique",贝悠,,1936-,阿根廷,作曲,nan,2017-08-08
3249708,"Belloni, Luca",贝罗尼,,1969-,义大利,作曲,nan,2017-08-08
3249709,Belohlavek Jiří,贝洛哈维克,,1946-,捷克,指挥,nan,2017-08-08
