ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21367278,diazepam,二氮呯酮；氯氮呯酮,"Anxiolytics, Sedatives and Hypnotics: Others [Anticonvulsants/Antiepileptic drugs (AEDs)]",113.11.22,2026-05-11
21367279,dibekacin,去羟康菌素；去二羟康丝菌素B,Antibiotics：Aminoglycosides,113.11.22,2026-05-11
21367280,dicloxacillin,二氯苯㗁唑西林,Antibiotics：Penicillins,113.11.22,2026-05-11
21367281,didanosine,肌去二羟苷,Antivirals：Nucleoside analog reverse-transcriptase inhibitors (NARTIs or NRTIs),113.11.22,2026-05-11
21367282,dienogest,腈拟睪烯酮,Sex-hormonal agent：Progesterone receptor (PR) modulators,113.11.22,2026-05-11
21367283,diethylcarbamazine,二乙哌𠯤脲,Antiparasitics：Anthelmintics (antihelminthics),113.11.22,2026-05-11
21367284,diethylstilbestrol,二乙芪酚,Sex-hormonal agent：Estrogen receptor (ER) modulators,113.11.22,2026-05-11
21367285,difloxacin,氟苯氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367286,digitoxin,毛地黄毒苷,Antiarrhythmics agents：Class Ⅴ (miscellaneous) antiarrhythmics [Cardiotonic agents：I. Cardiac glycosides],113.11.22,2026-05-11
21367287,digoxin,长叶毛地黄苷,Antiarrhythmics agents：Class Ⅴ (miscellaneous) antiarrhythmics [Cardiotonic agents：I. Cardiac glycosides],113.11.22,2026-05-11
21367288,diltiazem,二氢硫氮呯；二甲胺苯硫氮呯,Antiarrhythmics agents：Class IV antiarrhythmics；Antihypertensives：Calcium channel blockers,113.11.22,2026-05-11
21367289,dimercaprol,二硫代甘油,Heavy metal antagonists,113.11.22,2026-05-11
21367290,dinoprost,前列酸F2α；前列腺素F2α,Prostaglandin analogues that are not used to treat glaucoma,113.11.22,2026-05-11
21367291,dinoprostone,前列酸E2；前列腺素E2,Prostaglandin analogues that are not used to treat glaucoma,113.11.22,2026-05-11
21367292,diphenhydramine,二苯甲醚胺,Antihistamines：H1-antihistamines [Antiemetics：H1 histamine antagonists],113.11.22,2026-05-11
21367293,diphenidol,二苯哌啶醇,Antiemetics：Muscarinic antagonist,113.11.22,2026-05-11
21367294,diphenylhydantoin,二苯妥因；苯乙内醯脲,Antiarrhythmics agents：Class Ib antiarrhythmics,113.11.22,2026-05-11
21367295,dipivefrin€,肾上腺素戊酯；二（新）戊醯肾上腺素,Antiglaucoma agents：α-adrenergic agonist,113.11.22,2026-05-11
21367296,diprophylline,二羟丙茶碱,Phosphodiesterase inhibitors：Methylated xanthines,113.11.22,2026-05-11
21367297,Dipyridamole,二哌达脉；二哌啶异喋啶,Antithrombotic agents：Platelet aggregation inhibitors [Phosphodiesterase inhibitors：PDE3 inhibitors],113.11.22,2026-05-11
21367298,disodium ethylenediaminetetraacetate,乙二胺四乙酸二钠,Heavy metal antagonists,113.11.22,2026-05-11
21367299,disopyramide,二异丙吡醯胺,Antiarrhythmics agents：Class Ia antiarrhythmics,113.11.22,2026-05-11
21367300,divalproex sodium,丙戊酸半钠盐,Anticonvulsants/Antiepileptic drugs (AEDs)：Fatty acids,113.11.22,2026-05-11
21367301,D-norgestrel,左炔异睪固酮；l-炔异睪固酮,Sex-hormonal agent：Progesterone receptor (PR) modulators,113.11.22,2026-05-11
21367302,docetaxel,丁酯紫杉醇,Antineoplastic agents：Taxanes,113.11.22,2026-05-11
21367303,docosanol,廿二醇,Antivirals：Others,113.11.22,2026-05-11
21367304,"docusate, dioctyl sodium sulfosuccinate",琥珀酸辛酯磺酸钠盐；丁二酸辛酯磺酸钠盐,Laxatives：Surfactants (softeners),113.11.22,2026-05-11
21367305,dolasetron,朵乐息冲；吲哚哌并𪡓酯,Antiemetics：5-HT3 antagonist,113.11.22,2026-05-11
21367306,dolutegravir,多掳嵌韦尔,Antivirals：Integrase inhibitors,113.11.22,2026-05-11
21367307,domperidone,哌啶苯咪酮,Antiemetics：Dopamine antagonist,113.11.22,2026-05-11
21367308,donepezil,多沛记；苄哌啶茚酮,Antidementia：Acetylcholinesterase inhibitors,113.11.22,2026-05-11
21367309,doravirine,氰三唑韦尔啶,Antivirals：Non-nucleoside reverse-transcriptase inhibitors (NNRTIs),113.11.22,2026-05-11
21367310,doripenem,多瑞盘尼；磺胺碳盘尼,Antibiotics：Carbapenems,113.11.22,2026-05-11
21367311,dorzolamide,砜噻吩磺醯胺,Antiglaucoma agents：Carbonic anhydrase inhibitors,113.11.22,2026-05-11
21367312,dosulepin,硫呯思定；硫三环丙烯胺,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367313,doxazosin,多洒挫欣；苯㗁醯哌𠯤挫欣,Antihypertensives：Adrenergic agents,113.11.22,2026-05-11
21367314,doxepin,氧呯思定；氧三环丙烯胺,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367315,doxorubicin,糖胺羟四环素；环己糖胺羟四环素,Antineoplastic agents：Antibiotics,113.11.22,2026-05-11
21367316,doxycycline,异四环素,Antibiotics：Tetracyclines [Antiparasitics：Antiprotozoals],113.11.22,2026-05-11
21367317,doxylamine,吡苯乙醚胺,Antihistamines：H1-antihistamines [Antiemetics：H1 histamine antagonists],113.11.22,2026-05-11
21367318,dronabinol,四氢大麻酚,Antiemetics：Cannabinoid receptors agonists,113.11.22,2026-05-11
21367319,dronedarone,磺醯胺苯呋酮,Antiarrhythmics agents：Class III antiarrhythmics,113.11.22,2026-05-11
21367320,drospirenone,卓螺烯酮；环丙螺内酯固酮,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367321,duloxetine,多乐思汀；d-萘噻吩思汀,Antidepressants：Serotonin–norepinephrine reuptake inhibitor (SNRI),113.11.22,2026-05-11
21367322,durvalumab,杜伐单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367323,Dutasteride,达缩摄；氟苄氮睪（固）醯胺,Urologic Agents: Drugs used in benign prostatic hypertrophy [Sex-hormonal agent：Androgens and anabolic steroids],114.7.16,2026-05-11
21367324,dyphylline,二羟丙茶碱,Phosphodiesterase inhibitors：Methylated xanthines,113.11.22,2026-05-11
21367325,echinocandin B,亚麻醯棘白霉素,Antifungals：Echinocandins,113.11.22,2026-05-11
21367326,econazole,乙克霉唑,Antifungals：Azole,113.11.22,2026-05-11
21367327,efavirenz,伊斐韦尔𠯤；炔氟韦尔𠯤,Antivirals：Non-nucleoside reverse-transcriptase inhibitors (NNRTIs),113.11.22,2026-05-11
21367328,eflornithine,氟甲鸟胺酸,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367329,elotuzumab,艾罗妥拟单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367330,elvitegravir,艾维嵌韦尔,Antivirals：Integrase inhibitors,113.11.22,2026-05-11
21367331,emetine,吐根碱,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367332,emtricitabine,氟胞㗁噻吩,Antivirals：Nucleoside analog reverse-transcriptase inhibitors (NARTIs or NRTIs),113.11.22,2026-05-11
21367333,enalapril,依纳压利；苄丙缩丙脯肽,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,113.11.22,2026-05-11
21367334,enfuvirtide,抑融韦尔肽,Antivirals：Others,113.11.22,2026-05-11
21367335,enoxacin,乙氟㖠啶洒欣,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367336,ensitrelvir,恩赐肺韦尔,Antivirals：Protease inhibitors,113.11.22,2026-05-11
21367337,entecavir,外烯鸟韦尔,Antivirals：Nucleoside analog reverse-transcriptase inhibitors (NARTIs or NRTIs),113.11.22,2026-05-11
21367338,entrectinib,揠肌靶泊；哌𠯤喃肌靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367339,enzalutamide,艾扎卤醯胺；氟苄乙内醯硫脲,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367340,epinephrine ; adrenaline,肾上腺素,Antiglaucoma agents：α-adrenergic agonist,113.11.22,2026-05-11
21367341,epirubicin,表糖胺羟四环素,Antineoplastic agents：Antibiotics,113.11.22,2026-05-11
21367342,eplerenone,环氧螺烯酮；环氧螺内酯固酮,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367343,epoprostenol,前列酸I2；前列腺素I2,Prostaglandin analogues that are not used to treat glaucoma,113.11.22,2026-05-11
21367344,erdafitinib,扼达泌靶泊；胺吡唑喹㗁啉泌靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367345,erlotinib ,遏落肺靶泊；炔醚肺靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367346,ertapenem,扼挞盘尼；羧苯碳盘尼,Antibiotics：Carbapenems,113.11.22,2026-05-11
21367347,erythromycin,红丝菌素,Antibiotics：Macrolides,113.11.22,2026-05-11
21367348,escitalopram,佑希达思汀；S-氰苯喃伸思汀,Antidepressants：Selective serotonin reuptake inhibitors (SSRI),113.11.22,2026-05-11
21367349,esketamine,艾恺他命；S-氯苯酮胺,Antidepressants：Others,113.11.22,2026-05-11
21367350,esmolol,佳脉落；丙酯异丙洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],113.11.22,2026-05-11
21367351,estradiol,雌二醇；雌酚醇,Sex-hormonal agent：Estrogen receptor (ER) modulators,113.11.22,2026-05-11
21367352,estradiol benzoate,雌醇酚苯甲酸酯,Sex-hormonal agent：Estrogen receptor (ER) modulators,113.11.22,2026-05-11
21367353,estradiol cypionate,雌酚醇环戊丙酸酯,Sex-hormonal agent：Estrogen receptor (ER) modulators,113.11.22,2026-05-11
21367354,estradiol valerate,雌酚醇戊酸酯,Sex-hormonal agent：Estrogen receptor (ER) modulators,113.11.22,2026-05-11
21367355,etacrynic acid,乙丙烯醯苯酸,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367356,ethadione,乙㗁唑二酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Oxazolidinediones,113.11.22,2026-05-11
21367357,ethambutol,乙二胺丁醇,Antimycobacterials,113.11.22,2026-05-11
21367358,ethionamide,乙异烟硫醯胺,Antimycobacterials,113.11.22,2026-05-11
21367359,Ethosuximide,乙琥珀醯亚胺,Anticonvulsants/Antiepileptic drugs (AEDs)：Succinimides,113.11.22,2026-05-11
21367360,etoposide,乙拓扑苷；鬼臼缩乙醛苷,Antineoplastic agents：Topoisomerase inhibitors,113.11.22,2026-05-11
21367361,etravirine,依淬韦尔啶；氰韦尔啶,Antivirals：Non-nucleoside reverse-transcriptase inhibitors (NNRTIs),113.11.22,2026-05-11
21367362,everolimus,羟乙潮菌素；羟乙潮丝菌素,Antineoplastic agents：mTOR (mechanistic target of rapamycin) inhibitors,113.11.22,2026-05-11
21367363,exemestane,甲烯睪烯二酮,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367364,famciclovir,前泛赐疱韦尔；戊酯异腺疱韦尔,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,113.11.22,2026-05-11
21367365,famotidine,磺脲胍抗组胺；磺胍噻唑硫醚,Antihistamines：H2-antihistamines,113.11.22,2026-05-11
21367366,felodipine,苯氯啶平；乙二氯啶平,Antihypertensives：Calcium channel blockers,113.11.22,2026-05-11
21367367,fenticonazole,苯硫克霉唑；苯硫乙克霉唑,Antifungals：Azole,113.11.22,2026-05-11
21367368,fexofenadine,羧丁苯羟哌啶,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367369,fidaxomicin,橙孢菌素,Antibiotics：Macrolides,113.11.22,2026-05-11
21367370,filgotinib,斐革熄靶泊；砜环丙咪三唑熄靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367371,Finasteride,斐缩摄；丁氮睪（固）醯胺,Urologic Agents: Drugs used in benign prostatic hypertrophy [Sex-hormonal agent：Androgens and anabolic steroids],114.7.16,2026-05-11
21367372,finerenone,斐滤能；腈苯氢㖠啶,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367373,flecainide,氟卡醯胺；氟卡醯胺哌啶,Antiarrhythmics agents：Class Ib antiarrhythmics,113.11.22,2026-05-11
21367374,flomoxef,氟唑氧头孢醚；氧头孢醚氟唑,Antibiotics：Cephems,113.11.22,2026-05-11
21367375,flucloxacillin,氟氯苯㗁唑西林,Antibiotics：Penicillins,113.11.22,2026-05-11
21367376,fluconazole,氟克霉唑；氟异克霉三唑,Antifungals：Azole,113.11.22,2026-05-11
21367377,flucytosine,氟胞嘧啶,Antifungals：Others,113.11.22,2026-05-11
21367378,fludarabine,氟腺阿拉伯苷,Antineoplastic agents：Antimetabolites,113.11.22,2026-05-11
21367379,flumequine,氟甲喹 ；甲哌啶氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367380,fluorouracil,氟脲嘧啶,Antineoplastic agents：Antimetabolites,113.11.22,2026-05-11
21367381,fluoxetine,氟思汀；氟甲苯思汀,Antidepressants：Selective serotonin reuptake inhibitors (SSRI),113.11.22,2026-05-11
21367382,fluoxymesterone,氟羟甲睪酮,Sex-hormonal agent：Androgens and anabolic steroids,113.11.22,2026-05-11
21367383,flutamide,氟苄丁醯胺；氟甲硝苯丁醯胺,Antineoplastic agents： Hormonal Agents [Sex-hormonal agent：Androgens and anabolic steroids],113.11.22,2026-05-11
21367384,fluvoxamine,氟戊肟胺；氟戊肟类思汀,Antidepressants：Selective serotonin reuptake inhibitors (SSRI),113.11.22,2026-05-11
21367385,fosamprenavir,霖安沛韦尔；膦磺胺韦尔,Antivirals：Protease inhibitors,113.11.22,2026-05-11
21367386,fosaprepitant,福萨脾坦；膦唑酮氟必坦,Antiemetics：NK1 receptor antagonist,113.11.22,2026-05-11
21367387,foscarnet,羧膦酸,Antivirals：Others,113.11.22,2026-05-11
21367388,fosfomycin,膦丝菌素,Antibiotics：Others,113.11.22,2026-05-11
21367389,fosinopril,膦酯压利；环己脯乙醯膦酯,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,113.11.22,2026-05-11
21367390,fosphenytoin,膦二苯妥因；膦苯乙内醯脲,Anticonvulsants/Antiepileptic drugs (AEDs)：Hydantoins,113.11.22,2026-05-11
21367391,fostemsavir,服舒坦韦尔；膦哌𠯤韦尔,Antivirals：Others,113.11.22,2026-05-11
21367392,fulvestrant ,伐威拮雌素；氟亚砜壬雌酚醇,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367393,furazolidone,呋㗁唑酮,Antibiotics：Oxazolidinone antibacterials,113.11.22,2026-05-11
21367394,furosemide,呋羧磺胺,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367395,fusidic acid,梭链孢酸,Antibiotics：Others,113.11.22,2026-05-11
21367396,gabapentin,环己胺丁酸,Anticonvulsants/Antiepileptic drugs (AEDs)：Fatty acids,113.11.22,2026-05-11
21367397,galantamine,雪花莲碱,Antidementia：Acetylcholinesterase inhibitors,113.11.22,2026-05-11
21367398,ganciclovir,干息巨韦尔；鸟裂缩巨韦尔,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,113.11.22,2026-05-11
21367399,ganirelix,革逆抑释性肽；二伸精酪抑释性肽,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367400,gatifloxacin,革剔氟洒欣；环丙甲氧氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367401,gefitinib,革肺靶泊；邻卤𠰌肺靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367402,gemcitabine,胞偕二氟苷,Antineoplastic agents：Antimetabolites,113.11.22,2026-05-11
21367403,gemifloxacin,吉弭氟洒欣；环丙肟氟㖠啶洒欣,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367404,gentamicin,紫菌素；紫微单孢菌素,Antibiotics：Aminoglycosides,113.11.22,2026-05-11
21367405,gilteritinib,拮剔淋靶泊；哌𠯤吡𠯤醯胺淋靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367406,glecaprevir,革卡肝韦尔,Antivirals：Protease inhibitors,113.11.22,2026-05-11
21367407,Gonadorelin,促垂肽；甘醯胺促垂体肽,Agents Related to Pituitary and Hypothalamic Function: Hypothalamic Hormones [Antineoplastic agents],114.05.27,2026-05-11
21367408,Goserelin,功施促垂肽；丁丝脲醯胺促垂体肽,Agents Related to Pituitary and Hypothalamic Function: Hypothalamic Hormones [Antineoplastic agents],113.11.22,2026-05-11
21367409,granisetron,革逆息冲；并哌啶吲唑醯胺,Antiemetics：5-HT3 antagonist,113.11.22,2026-05-11
21367410,griseofulvin,灰霉素,Antifungals：Others,113.11.22,2026-05-11
21367411,guanethidine,胍乙啶；胍乙环庚亚胺,Antihypertensives：Miscellaneous,113.11.22,2026-05-11
21367412,halofantrine,卤菲羟丙胺,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367413,hydralazine,联胺呔𠯤,Antihypertensives：Agents acting on arteriolar smooth muscle,113.11.22,2026-05-11
21367414,hydrochlorothiazide,氢氯噻𠯤,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367415,hydroflumethiazide,氢氟甲噻𠯤；氟甲苯氢磺𠯤,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367416,Hydroxychloroquine,羟氯喹；羟戊二胺氯喹,Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs) [Antiparasitics：Antiprotozoals],113.11.22,2026-05-11
21367417,hydroxyprogesterone caporate,羟孕酮己酸酯,Sex-hormonal agent：Progesterone receptor (PR) modulators,113.11.22,2026-05-11
21367418,hydroxyzine,羟醚氯哌𠯤,Antihistamines：H1-antihistamines [Antiemetics：H1 histamine antagonists],113.11.22,2026-05-11
21367419,ibrutinib,艾淋靶泊；苯氧胺烯淋靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367420,idarubicin,糖胺去甲氧四环素,Antineoplastic agents：Antibiotics,113.11.22,2026-05-11
21367421,idoxuridine,碘尿去羟苷,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,113.11.22,2026-05-11
21367422,ifosfamide,异环膦醯氮芥,Antineoplastic agents：Alkylating agents,113.11.22,2026-05-11
21367423,iloprost,炔碳前列酸I2；炔碳代前列酸I2,Prostaglandin analogues that are not used to treat glaucoma,113.11.22,2026-05-11
21367424,imatinib,抑灭淋靶泊；哌吡嘧醯胺淋靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367425,imidapril,咪唑酮压利；苄丙咪唑酮,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,113.11.22,2026-05-11
21367426,imipenem,亚胺盘尼；亚胺裂碳盘尼,Antibiotics：Carbapenems,113.11.22,2026-05-11
21367427,imipramine,氮呯思定；氮三环丙胺,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367428,inamrinone,胺联吡酮,Phosphodiesterase inhibitors：PDE3 inhibitors,113.11.22,2026-05-11
21367429,indapamide,吲联磺醯胺；吲氯苯磺醯胺,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367430,indinavir,引定韦尔；茚𠯤韦尔,Antivirals：Protease inhibitors,113.11.22,2026-05-11
21367431,inotuzumab ozogamicin,伊诺妥拟单抗^醯腙棘孢烯二炔,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367432,ipilimumab,抑皮单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367433,irbesartan,艾倍洒坦；四唑螺环戊裂拮压,Antihypertensives：Angiotensin II receptor antagonists (ARBs),113.11.22,2026-05-11
21367434,irinotecan,艾瑞提康；喜树碱哌啶甲酯,Antineoplastic agents：Topoisomerase inhibitors,113.11.22,2026-05-11
21367435,isavuconazole,艾煞克霉唑；噻唑氟异克霉三唑,Antifungals：Azole,113.11.22,2026-05-11
