ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3544451,pooling of interest method,权益结合法,,nan,2018-06-26
3544452,pooling-of- interests method,权益结合法,,权益结合法,2018-06-26
3544453,portfolio,[投资]组合,,nan,2018-06-26
3544454,portfolio hedge of interest rate risk,利率风险之[投资]组合避险,,nan,2018-06-26
3544455,portfolio restructuring,资产重组,,资产重组,2018-06-26
3544456,portfolio transfer,[投资]组合移转,,nan,2018-06-26
3544457,positive confirmation,积极式函证,,积极式函证,2018-06-26
3544458,post-employment benefit plans,退休福利计划,,nan,2018-06-26
3544459,post-employment benefits,退休福利,,nan,2018-06-26
3544460,posting,过帐,,过账,2018-06-26
3544461,post-tax profit or loss,税后损益,,nan,2018-06-26
3544462,post-vesting transfer restriction,既得后移转限制,,nan,2018-06-26
3544463,potential ordinary share,潜在普通股,,nan,2018-06-26
3544464,potential voting rights,潜在表决权,,nan,2018-06-26
3544465,practical ability to sell the asset,出售资产之实际能力,,nan,2018-06-26
3544466,practical capacity,实质产能,,nan,2018-06-26
3544467,pre-combination,合并前,,nan,2018-06-26
3544468,predatory pricing,侵略性订价,,nan,2018-06-26
3544469,predecessor stripping asset,剥除资产前身,,nan,2018-06-26
3544470,preference dividend,特别股股利,,nan,2018-06-26
3544471,preference share,特别股,,优先股,2018-06-26
3544472,preferred stock,特别股,,优先股,2018-06-26
3544473,preliminary judgment about materiality,重大性之初步判断,,nan,2018-06-26
3544474,premium,溢价；保费；权利金,,nan,2018-06-26
3544475,premium on capital stock,股本溢价,,资本溢价,2018-06-26
3544476,prepayment risk,提前还款风险,,nan,2018-06-26
3544477,prepayments,预付款[项]；提前还款,,预付帐款,2018-06-26
3544478,prepayments of a minimum fundingrequirement,最低资金提拨要求,,nan,2018-06-26
3544479,prepayments of future contributions,未来提拨金之预付,,nan,2018-06-26
3544480,present obligation,现时义务,,nan,2018-06-26
3544481,present value,现值,,现值,2018-06-26
3544482,present value of a defined benefit obligation,确定福利义务之现值,,nan,2018-06-26
3544483,presentation,表达,,nan,2018-06-26
3544484,presentation and disclosure-related audit objectives,与表达及揭露有关之查核目标,,nan,2018-06-26
3544485,presentation currency,表达货币,,nan,2018-06-26
3544486,prevention costs,预防成本,,nan,2018-06-26
3544487,preventive control,预防性控制,,预防性控制,2018-06-26
3544488,previous-department costs,前部门成本,,nan,2018-06-26
3544489,price discount,价格折扣,,nan,2018-06-26
3544490,price discrimination,差别价格,,nan,2018-06-26
3544491,price earnings ratios,本益比,,nan,2018-06-26
3544492,price index,价格指数,,nan,2018-06-26
3544493,price risk,价格风险,,nan,2018-06-26
3544494,price variance,价格差异,,nan,2018-06-26
3544495,price-earnings ratio,本益比,,市盈率,2018-06-26
3544496,price-recovery component,价格回收因素,,nan,2018-06-26
3544497,prime costs,主要成本,,nan,2018-06-26
3544498,principal,主理人,,nan,2018-06-26
3544499,principal amount,本金,,nan,2018-06-26
3544500,principal market,主要市场,,nan,2018-06-26
3544501,principal-only strip,分割本金债券,,nan,2018-06-26
3544502,Principles-based approach,原则基础法,,nan,2018-06-26
3544503,prior period error,前期错误,,nan,2018-06-26
3544504,prior-period adjustments,前期损益调整,,以前年度损益调整,2018-06-26
3544505,private entity,未上市柜个体；未上市柜企业；未上市柜公司；非公开发行个体； 非公开发行企业； 非公开发行公司,,nan,2018-06-26
3544506,private equity {=PE},私募股权,,私人权益资本,2018-06-26
3544507,private placement,私募,,私募,2018-06-26
3544508,private securities litigation reform act,证券诉讼改革法,,nan,2018-06-26
3544509,privatisation,民营化；私有化,,nan,2018-06-26
3544510,pro forma,拟制,,nan,2018-06-26
3544511,pro forma statements,拟制财务报表,,nan,2018-06-26
3544512,pro rata basis,比例基础,,nan,2018-06-26
3544513,pro rata share of the net assets,按持股比例计算之净资产,,nan,2018-06-26
3544514,probabilistic sample selection,机率性选样,,nan,2018-06-26
3544515,probability,机率,,nan,2018-06-26
3544516,probability distribution,机率分配,,nan,2018-06-26
3544517,probability proportional to size sample selection {=PPS},机率与大小成比例选样,,nan,2018-06-26
3544518,probability recognition criterion,机率性之认列基准；机率性之认列条件,,nan,2018-06-26
3544519,probable,很有可能,,nan,2018-06-26
3544520,probable maximum loss,很有可能之最大损失,,nan,2018-06-26
3544521,procedures to obtain an understanding of internal control,用以了解内部控制之程序,,nan,2018-06-26
3544522,process costing,分步成本法,,分步成本法,2018-06-26
3544523,process costing systems,分步成本制,,nan,2018-06-26
3544524,process-costing system,分步成本制度,,nan,2018-06-26
3544525,processing controls,处理控制,,nan,2018-06-26
3544526,prodcution-volume variance,生产数量差异,,nan,2018-06-26
3544527,product cost,产品成本,,nan,2018-06-26
3544528,product differentiation,产品差异化,,nan,2018-06-26
3544529,product life cycle,产品生命周期,,nan,2018-06-26
3544530,product overcosting,产品成本溢计,,nan,2018-06-26
3544531,product undercosting,产品成本短计,,nan,2018-06-26
3544532,product warranty obligations,产品保固负债；产品保固义务,,nan,2018-06-26
3544533,product-cost cross-subsidization,产品成本交互补助,,nan,2018-06-26
3544534,production department,生产部门,,nan,2018-06-26
3544535,Production overheads,制造费用,,nan,2018-06-26
3544536,production process,制造过程,,nan,2018-06-26
3544537,production-denominator level,生产基准产能,,nan,2018-06-26
3544538,productivity,生产力,,nan,2018-06-26
3544539,productivity component,生产力因素,,nan,2018-06-26
3544540,product-mix decisions,产品组合决策,,nan,2018-06-26
3544541,product-sustaining costs,产品支援成本,,nan,2018-06-26
3544542,professional ethics,职业道德,,nan,2018-06-26
3544543,professional skepticism,专业上之怀疑,,nan,2018-06-26
3544544,profit,净利；利润,,利润,2018-06-26
3544545,profit after tax,税后净利,,nan,2018-06-26
3544546,profit appropriation,利润指拨,,利润分配,2018-06-26
3544547,profit before tax,税前净利,,nan,2018-06-26
3544548,profit center,利润中心,,利润中心,2018-06-26
3544549,profit margin,纯益率,,销售利润率,2018-06-26
3544550,profit or loss,损益,,nan,2018-06-26
3544551,profit or loss sharing arrangement,损益分配协议,,nan,2018-06-26
3544552,profit sharing,分红,,nan,2018-06-26
3544553,profitability index {=PI},获利指数；获利能力指数,,盈利指数,2018-06-26
3544554,program audit,计划审计,,nan,2018-06-26
3544555,progress billing,按进度开立帐单,,nan,2018-06-26
3544556,progress payment,按进度付款,,nan,2018-06-26
3544557,projected misstatements,推估不实表达,,nan,2018-06-26
3544558,projected unit credit method,预计单位福利法,,nan,2018-06-26
3544559,proof of cash,四栏式银行调节表,,nan,2018-06-26
3544560,property interest,不动产权益,,nan,2018-06-26
3544561,property revaluation,不动产重估价,,nan,2018-06-26
3544562,"property, plant and equipment {=PPE}",不动产、厂房及设备,,nan,2018-06-26
3544563,proportionate consolidation,比例合并,,nan,2018-06-26
3544564,proportionate interest,权益比例,,nan,2018-06-26
3544565,proration,比例分配,,nan,2018-06-26
3544566,prospective application,推延适用,,nan,2018-06-26
3544567,prospective financial statements,预测财务报表,,nan,2018-06-26
3544568,protective rights,保障性权利,,nan,2018-06-26
3544569,provision,提供；负债准备；应计负债,,nan,2018-06-26
3544570,provisional value,暂定价值,,nan,2018-06-26
3544571,proxy,参考值{方法／金额等…}；替代,,nan,2018-06-26
3544572,proxy contest,委托书争夺；代理投票权争夺,,代理投票权争夺,2018-06-26
3544573,proxy hedging,代理避险,,nan,2018-06-26
3544574,prudence,审慎性,,nan,2018-06-26
3544575,prudent person concept,善良管理人观念,,nan,2018-06-26
3544576,public accountability,公共课责性,,nan,2018-06-26
3544577,public company accounting oversight board {=PCAOB},美国公开发行公司会计监督委员会,,nan,2018-06-26
3544578,public entity,上市柜个体；上市柜企业；上市柜公司；公开发行个体； 公开发行企业；公开发行公司,,nan,2018-06-26
3544579,public offering,公开募集；公募,,公募,2018-06-26
3544580,public sector,公部门,,nan,2018-06-26
3544581,public securities markets,公开证券市场,,nan,2018-06-26
3544582,publish what you pay campaign,企业公告付费促进联盟；促进企业公告付款联盟,,nan,2018-06-26
3544583,published price,公告价格,,nan,2018-06-26
3544584,purchase consideration,购买对价,,nan,2018-06-26
3544585,purchase method,购买法,,购买法,2018-06-26
3544586,purchase order,采购单；采购通知,,nan,2018-06-26
3544587,purchase price,购买价格,,nan,2018-06-26
3544588,purchase requisition,请购单；请购,,nan,2018-06-26
3544589,purchased option hedging instrument,作为避险工具之购入选择权,,nan,2018-06-26
3544590,purchase-order lead time,订购前置时间,,nan,2018-06-26
3544591,purchasing costs,采购成本,,nan,2018-06-26
3544592,put option,卖权,,nan,2018-06-26
3544593,put provision,卖回条款,,卖回条款,2018-06-26
3544594,puttable,可卖回,,nan,2018-06-26
3544595,puttable financial instruments,可卖回金融工具,,nan,2018-06-26
3544596,puttable instrument,可卖回工具,,nan,2018-06-26
3544597,PV graph,利量图,,nan,2018-06-26
3544598,qualified opinion,保留意见,,保留意见,2018-06-26
3544599,qualifying asset,符合要件之资产,,nan,2018-06-26
3544600,qualifying insurance policy,符合要件之保单,,nan,2018-06-26
3544601,qualitative aspects of the entity's accounting practices,会计实务质性层面,,nan,2018-06-26
3544602,qualitative characteristics,品质特性,,nan,2018-06-26
3544603,qualitative considerations,质性因素,,nan,2018-06-26
3544604,qualitative factors,品质性因素,,nan,2018-06-26
3544605,quality,品质,,nan,2018-06-26
3544606,quality control,品质控制,,nan,2018-06-26
3544607,quantitative disclosures,量化揭露,,nan,2018-06-26
3544608,quantitative factors,数量性因素,,nan,2018-06-26
3544609,quantitative thresholds,量化门槛,,nan,2018-06-26
3544610,quick assets,速动资产,,速动资产,2018-06-26
3544611,quick ratio,速动比率,,速动比率,2018-06-26
3544612,qulified opinion,保留意见,,nan,2018-06-26
3544613,quoted equity instrument,具公开报价之权益工具,,nan,2018-06-26
3544614,quoted market price,市场报价,,nan,2018-06-26
3544615,random sample,随机样本,,nan,2018-06-26
3544616,rate variance,费率差异,,nan,2018-06-26
3544617,rated credit exposures,已评等之信用暴险,,nan,2018-06-26
3544618,ratio estimation,比率估计法,,nan,2018-06-26
3544619,ratio of ore to waste,矿产废料比,,nan,2018-06-26
3544620,raw materials,原料,,原材料,2018-06-26
3544621,reacquired rights,再取回之权利,,nan,2018-06-26
3544622,reacquisition provision,再取得条款,,nan,2018-06-26
3544623,readily obtainable assets,易取得资产,,nan,2018-06-26
3544624,real rate of return,真实报酬率,,nan,2018-06-26
3544625,realisable value,变现价值,,nan,2018-06-26
3544626,realizable value of accounts receivable,应收帐款变现价值,,nan,2018-06-26
3544627,reasonable assurance,合理确信,,合理保证,2018-06-26
3544628,reasonable estimate,合理估计,,nan,2018-06-26
3544629,reasonably possible,合理可能,,nan,2018-06-26
3544630,reassessment,重评估,,nan,2018-06-26
3544631,reassessment of embedded derivatives,嵌入式衍生工具之重评估,,nan,2018-06-26
3544632,rebalancing,重新平衡,,nan,2018-06-26
3544633,rebates,回馈金；折扣,,nan,2018-06-26
3544634,recalculation,验算,,nan,2018-06-26
3544635,receipts in advance,预收款项,,预收账款,2018-06-26
3544636,receivables,应收款,,nan,2018-06-26
3544637,receivables turnover,应收款项周转率,,应收账款周转率,2018-06-26
3544638,receiving report,收货单,,nan,2018-06-26
3544639,receiving voucher,收入传票,,收款凭证,2018-06-26
3544640,reciprocal method,相互法,,nan,2018-06-26
3544641,reclassification adjustments,重分类调整,,nan,2018-06-26
3544642,reclassification date,重分类日,,nan,2018-06-26
3544643,recognised financial instruments,[已]认列之金融工具,,nan,2018-06-26
3544644,recognition,认列,,nan,2018-06-26
3544645,recognition criteria,认列条件；基准,,nan,2018-06-26
3544646,reconciliation,调节[表],,nan,2018-06-26
3544647,reconciling,调节,,对账,2018-06-26
3544648,recourse loan,具追索权之放款,,nan,2018-06-26
3544649,recoverability,可回收性,,nan,2018-06-26
3544650,recoverable,可回收,,nan,2018-06-26
3544651,recoverable amount,可回收金额,,nan,2018-06-26
3544652,recycling,再循环,,nan,2018-06-26
3544653,redemption,赎回,,nan,2018-06-26
3544654,redemption prohibition,禁止赎回,,nan,2018-06-26
3544655,reengineering,再造工程,,nan,2018-06-26
3544656,refinancing,再融资,,nan,2018-06-26
3544657,refined costing system,改良成本制度,,nan,2018-06-26
3544658,refund or a reduction in future contributions,退还资金或减少未来提拨金,,nan,2018-06-26
3544659,regression analysis,回归分析,,nan,2018-06-26
3544660,regular way purchase or sale,惯例交易,,nan,2018-06-26
3544661,rehabilitate-operate-transfer,修建─营运─移转,,nan,2018-06-26
3544662,reimbursement,归垫,,nan,2018-06-26
3544663,reinsurance assets,再保险资产,,nan,2018-06-26
3544664,reinsurance contract,再保险合约,,nan,2018-06-26
3544665,reinsurer,再保险人,,nan,2018-06-26
3544666,reinvestment of dividends,股利再投资,,nan,2018-06-26
3544667,related parties,关系人,,nan,2018-06-26
3544668,related party,关系人,,nan,2018-06-26
3544669,related party disclosures,关系人揭露,,nan,2018-06-26
3544670,related party transaction,关系人交易,,关联方交易,2018-06-26
3544671,relative performance evaluation,相对绩效评估,,相对业绩评价,2018-06-26
3544672,relevance,攸关性,,nan,2018-06-26
3544673,relevant activities,攸关活动,,nan,2018-06-26
3544674,relevant costs,攸关成本,,nan,2018-06-26
3544675,relevant range,攸关范围,,nan,2018-06-26
3544676,relevant revenues,攸关收益,,nan,2018-06-26
3544677,reliability,可靠性,,nan,2018-06-26
3544678,reliability exception,可靠性之例外,,nan,2018-06-26
3544679,reliability of evidence,证据之可靠性,,nan,2018-06-26
3544680,reload feature,重填条款,,nan,2018-06-26
3544681,reload option,重填认股权,,nan,2018-06-26
3544682,remaining period,剩余期间,,nan,2018-06-26
3544683,remeasurement,重新衡量；再衡量,,nan,2018-06-26
3544684,remeasurements of the net defined benefit asset,净确定福利资产再衡量数,,nan,2018-06-26
3544685,remeasurements of the net defined benefit liability,净确定福利负债再衡量数,,nan,2018-06-26
3544686,removal of accounts provision,移除帐户条款,,nan,2018-06-26
3544687,removal rights,罢黜权利,,nan,2018-06-26
3544688,reorder point,再订购点,,再订货点,2018-06-26
3544689,reorganisations,改组；重组,,nan,2018-06-26
3544690,reorganization,改组；重整,,重组,2018-06-26
3544691,repairs and maintenance,维修[费用],,nan,2018-06-26
3544692,repayment,偿还；返还,,nan,2018-06-26
3544693,reperformance,重新执行,,nan,2018-06-26
3544694,replacement award,替代性报酬,,nan,2018-06-26
3544695,replacement cost,重置成本,,重置成本,2018-06-26
3544696,reportable segment,应报导部门,,nan,2018-06-26
3544697,reporting currency,报导货币,,nan,2018-06-26
3544698,reporting date,报导日,,nan,2018-06-26
3544699,reporting enterprise,报导企业,,nan,2018-06-26
3544700,reporting entity,报导个体；企业,,nan,2018-06-26
3544701,reporting package,报导资讯；报导资料,,nan,2018-06-26
3544702,reporting period,报导期间,,nan,2018-06-26
3544703,representational faithfulness,忠实表述；忠实表达,,nan,2018-06-26
3544704,representative sample,代表性样本,,nan,2018-06-26
3544705,repurchase agreement,再买回协议,,nan,2018-06-26
3544706,repurchase transactions,再买回交易,,nan,2018-06-26
3544707,reputational risk,声誉风险,,nan,2018-06-26
3544708,required rate of return {=RRR},必要报酬率,,nan,2018-06-26
3544709,research and development,研究发展,,nan,2018-06-26
3544710,reserve,准备,,nan,2018-06-26
3544711,residual cost,剩余成本,,nan,2018-06-26
3544712,residual dividend policy,剩余股利政策,,剩余股利政策,2018-06-26
3544713,residual income {=RI},剩余利益,,剩余收益,2018-06-26
3544714,residual interest,剩余权益,,nan,2018-06-26
3544715,residual term,残差项,,nan,2018-06-26
3544716,residual value,残值,,nan,2018-06-26
3544717,resource driver,资源动因,,资源动因,2018-06-26
3544718,responsibility accounting,责任会计,,nan,2018-06-26
3544719,responsibility center,责任中心,,责任中心,2018-06-26
3544720,restatement,重编,,nan,2018-06-26
3544721,restricted shares,限制型股份；限制型股票,,nan,2018-06-26
3544722,restrictive covenant,限制性契约条款,,限制性契约条款,2018-06-26
3544723,restructuring,重组,,nan,2018-06-26
3544724,restructuring provision,重组负债准备,,nan,2018-06-26
3544725,retail method,零售价法,,nan,2018-06-26
3544726,retained earnings,保留盈余,,留存收益,2018-06-26
3544727,retained earnings-unappropriated,未分配盈余,,nan,2018-06-26
3544728,retention ratio,盈余保留率,,留存比率,2018-06-26
3544729,retirement benefit plans,退休福利计划,,nan,2018-06-26
3544730,retroactive classification,追溯重分类,,nan,2018-06-26
3544731,retrospective application,追溯适用,,nan,2018-06-26
3544732,retrospective restatement,追溯重编,,nan,2018-06-26
3544733,return on assets {=ROA},资产报酬率,,资产收益率,2018-06-26
3544734,return on capital employed {=ROCE},长期资金报酬率,,占用资本收益率,2018-06-26
3544735,return on equity {=ROE},权益报酬率,,净资产收益率,2018-06-26
3544736,return on investment,投资报酬[率],,nan,2018-06-26
3544737,return on investment {=ROI},投资报酬率,,nan,2018-06-26
3544738,return on plan assets [of an employee benefit plan],[员工福利计划之]退休基金资产报酬,,nan,2018-06-26
3544739,return on total assets {=ROTA},资产报酬率,,总资产报酬率,2018-06-26
3544740,revaluation,重估价,,nan,2018-06-26
3544741,revaluation reserve,重估增值,,nan,2018-06-26
3544742,revaluation surplus,重估增值,,nan,2018-06-26
3544743,revenue,收入,,收入,2018-06-26
3544744,revenue allocation,收入分配,,nan,2018-06-26
3544745,revenue center,收入中心,,nan,2018-06-26
3544746,revenue driver,收入动因,,nan,2018-06-26
3544747,revenue expenditure,收益支出,,收益性支出,2018-06-26
3544748,revenue object,收入标的,,nan,2018-06-26
3544749,revenue-expense view,损益表观点,,收入费用观,2018-06-26
3544750,revenues,收入,,nan,2018-06-26
3544751,reversal,回转,,nan,2018-06-26
3544752,reverse acquisition,反向收购,,nan,2018-06-26
3544753,reverse share split,股份反分割,,nan,2018-06-26
3544754,reverse split,反向分割,,反向拆细,2018-06-26
3544755,review,核阅,,nan,2018-06-26
3544756,review for subsequent events,期后事项核阅,,nan,2018-06-26
3544757,review of audit documentation,审计工作底稿核阅,,nan,2018-06-26
3544758,review of historical financial statements,历史性财务报表覆核,,nan,2018-06-26
3544759,review service,核阅服务,,nan,2018-06-26
3544760,revoke a designation,撤销指定；取消指定,,nan,2018-06-26
3544761,rework,重做,,nan,2018-06-26
3544762,right of first refusal,优先承购权,,nan,2018-06-26
3544763,right of set-off,抵销权,,nan,2018-06-26
3544764,right to explore,探矿权,,nan,2018-06-26
3544765,rights issue,新股认购权利,,nan,2018-06-26
3544766,rightsizing,正确化,,nan,2018-06-26
3544767,risk assessment procedure,风险评估程序,,风险评估程序,2018-06-26
3544768,risk exposure,暴险,,nan,2018-06-26
3544769,risk of incorrect acceptance,不当接受风险,,nan,2018-06-26
3544770,risk of incorrect rejection,不当拒绝风险,,nan,2018-06-26
3544771,risk of material misstatement,重大误述风险；重大不实表达风险,,重大错报风险,2018-06-26
3544772,risk of overreliance,过度信赖风险,,nan,2018-06-26
3544773,risk premium,风险溢价,,风险溢价,2018-06-26
3544774,risk-free interest rate,无风险利率,,无风险利率,2018-06-26
3544775,risk-oriented audit,风险导向审计,,风险基础审计,2018-06-26
3544776,roll back,回溯,,nan,2018-06-26
3544777,roll forward,前推,,nan,2018-06-26
3544778,rolling budget,滚动预算,,滚动预算,2018-06-26
3544779,royalty,权利金,,nan,2018-06-26
3544780,safety stock,安全存量,,nan,2018-06-26
3544781,sale and leaseback transaction,售后租回交易,,nan,2018-06-26
3544782,sale-leaseback,售后租回,,售后租回,2018-06-26
3544783,sales allowance,销货折让,,销售折让,2018-06-26
3544784,sales and collection cycle,销售及收款循环,,nan,2018-06-26
3544785,sales mix,销售组合,,nan,2018-06-26
3544786,sales value at splitoff method,分离点销售价值法,,nan,2018-06-26
3544787,sales-mix variance,销售组合差异,,nan,2018-06-26
3544788,sales-quantity variance,销售数量差异,,nan,2018-06-26
3544789,sales-volume variance,销售数量差异,,nan,2018-06-26
3544790,sample deviation rate,样本偏差率,,nan,2018-06-26
3544791,sample exception rate,样本偏差率,,nan,2018-06-26
3544792,sample selection,选样,,nan,2018-06-26
3544793,sampling distribution,抽样分配,,nan,2018-06-26
3544794,sampling error,抽样错误,,nan,2018-06-26
3544795,sampling risk,抽样风险,,nan,2018-06-26
3544796,Sarbanes-Oxley Act,沙宾法案,,nan,2018-06-26
3544797,scrap,残料,,nan,2018-06-26
3544798,seasoned equity offering {=SEO},现金增资,,股权再融资,2018-06-26
3544799,secondary segment information,次要部门资讯,,nan,2018-06-26
3544800,securities,证券,,nan,2018-06-26
3544801,Securities Act of 1933,1933年证券法,,nan,2018-06-26
3544802,Securities and Exchange Commission {=SEC},美国证券交易委员会,,nan,2018-06-26
3544803,Securities Exchange Act of 1934,1934年证券交易法,,nan,2018-06-26
3544804,securitisation,证券化,,nan,2018-06-26
3544805,segment,部门,,nan,2018-06-26
3544806,segment assets,部门资产,,nan,2018-06-26
3544807,segment expense,部门费用,,nan,2018-06-26
3544808,segment profit or loss,部门损益,,nan,2018-06-26
3544809,segment reporting,部门别报导,,分部报告,2018-06-26
3544810,segment revenue,部门收入,,nan,2018-06-26
3544811,self-constructed asset,自建资产,,nan,2018-06-26
3544812,self-insurance,自我保险,,nan,2018-06-26
3544813,selling expense,推销费用,,销售费用,2018-06-26
3544814,selling-price variance,销售价格差异,,nan,2018-06-26
3544815,semi-strong-form efficiency,半强式效率性,,半强有效,2018-06-26
3544816,semivariable cost,半变动成本,,nan,2018-06-26
3544817,sensitivity analysis,敏感性分析,,nan,2018-06-26
3544818,separability,可分离性,,nan,2018-06-26
3544819,separability criterion,可分离性条件,,nan,2018-06-26
3544820,separable assets,可分离资产,,nan,2018-06-26
3544821,separable costs,可分离成本,,nan,2018-06-26
3544822,separate financial statements,单独财务报表,,nan,2018-06-26
3544823,separate liability,单独负债,,nan,2018-06-26
3544824,separate of duties,职能分工,,nan,2018-06-26
3544825,separate vehicle,单独载具,,nan,2018-06-26
3544826,separately identifiable,可单独辨认,,nan,2018-06-26
3544827,separation of duties,职能分工,,nan,2018-06-26
3544828,sequential allocation method,顺序分摊法,,nan,2018-06-26
3544829,sequential tracking,顺序追溯,,nan,2018-06-26
3544830,service concession arrangement,服务特许权协议,,nan,2018-06-26
3544831,service concession arrangements,服务特许权协议,,nan,2018-06-26
3544832,service cost,服务成本,,nan,2018-06-26
3544833,service date,劳务提供日,,nan,2018-06-26
3544834,service department,服务部门,,nan,2018-06-26
3544835,service mark,服务标章,,nan,2018-06-26
3544836,service-sustaining costs,劳务支援成本,,nan,2018-06-26
3544837,servicing asset,服务资产,,nan,2018-06-26
3544838,servicing costs,服务成本,,nan,2018-06-26
3544839,servicing liabilities,服务负债,,nan,2018-06-26
3544840,servicing liability,服务负债,,nan,2018-06-26
3544841,servicing rights,服务权,,nan,2018-06-26
3544842,settle net,净额交割,,nan,2018-06-26
3544843,settle on a net basis,以净额基础交割,,nan,2018-06-26
3544844,settlement,交割{衍生工具}；结算{期货}；清偿{负债},,nan,2018-06-26
3544845,settlement (of employee benefit obligations),清偿{退休金福利义务},,nan,2018-06-26
3544846,settlement date,交割日,,nan,2018-06-26
3544847,settlement date accounting,交割日会计,,nan,2018-06-26
3544848,settlement value,交割{衍生工具}价值 ；结算{期货}价值；清偿{负债}价值；交割{衍生工具}金额；结算{期货}金额；清偿{负债}金额,,nan,2018-06-26
3544849,shadow accounting,影子会计,,nan,2018-06-26
3544850,share,股份；股票,,股票,2018-06-26
3544851,share appreciation rights,股份增值权,,nan,2018-06-26
3544852,share buy-back arrangements,股份买回协议,,nan,2018-06-26
3544853,share call options,股份买权,,nan,2018-06-26
3544854,share capital,股本,,nan,2018-06-26
3544855,share capital-reacquired own equity instruments {Treasury Shares},股本－再取得之本身权益工具{库藏股},,nan,2018-06-26
3544856,share consolidation,股份合并,,nan,2018-06-26
3544857,share dividend,股票股利,,股票股利,2018-06-26
3544858,share option,认股权；股票选择权,,nan,2018-06-26
3544859,share option plan,认股权计划； 股票选择权计划,,nan,2018-06-26
3544860,share premium,股份溢价,,nan,2018-06-26
3544861,share split,股份分割,,nan,2018-06-26
3544862,share warrant,认股权证,,nan,2018-06-26
3544863,share-based payment,股份基础给付,,nan,2018-06-26
3544864,share-based payment arrangement,股份基础给付协议,,nan,2018-06-26
3544865,share-based payment awards,股份基础给付报酬,,nan,2018-06-26
3544866,share-based payment transaction,股份基础给付交易,,nan,2018-06-26
3544867,shareholder,股东,,nan,2018-06-26
3544868,shareholder wealth maximization,股东财富极大化,,股东财富最大化,2018-06-26
3544869,shareholders' equity,股东权益,,nan,2018-06-26
3544870,short seller,放空者；卖空卖方,,nan,2018-06-26
3544871,short-term employee benefits,短期员工福利,,nan,2018-06-26
3544872,shrinkage costs,短耗成本,,nan,2018-06-26
3544873,SIC,解释常务委员会；解释公告,,nan,2018-06-26
3544874,significant component,重要组成个体,,nan,2018-06-26
3544875,significant deficiencies,显著缺失,,nan,2018-06-26
3544876,significant influence,重大影响,,nan,2018-06-26
3544877,significant risk,显著风险,,nan,2018-06-26
3544878,simple regression,简单回归,,nan,2018-06-26
3544879,single account title voucher,单式凭证,,单式凭证,2018-06-26
3544880,single entry bookkeeping,单式簿记,,单式记账法,2018-06-26
3544881,single-rate method,单一费率法,,nan,2018-06-26
3544882,sinking fund,偿债基金,,偿债基金,2018-06-26
3544883,slope coefficient,斜率系数,,nan,2018-06-26
3544884,social security,社会安全,,nan,2018-06-26
3544885,social security contribution,社会安全提拨,,nan,2018-06-26
3544886,solvency,偿债能力,,nan,2018-06-26
3544887,source document,原始凭证,,nan,2018-06-26
3544888,special purpose entity {=SPE},特殊目的个体,,nan,2018-06-26
3544889,special-purpose entities,特殊目的个体,,nan,2018-06-26
3544890,specific authorization,特定授权,,nan,2018-06-26
3544891,specific identification,个别认定法,,个别计价法,2018-06-26
3544892,specific identification of costs,成本个别认定,,nan,2018-06-26
3544893,specifically identified cash flows,明确辨认之现金流量,,nan,2018-06-26
3544894,speculative grade,投机等级,,nan,2018-06-26
3544895,spin-off,分拆,,nan,2018-06-26
3544896,splitoff point,分离点,,nan,2018-06-26
3544897,spoilage,损坏品,,nan,2018-06-26
3544898,sponsoring employers,主办雇主,,nan,2018-06-26
3544899,spot exchange rate,即期汇率,,nan,2018-06-26
3544900,spot foreign exchange risk,即期外汇风险,,nan,2018-06-26
3544901,spot rate,即期汇率；即期利率,,nan,2018-06-26
3544902,stable dividend policy,稳定股利政策,,稳定股利政策,2018-06-26
3544903,staff management,幕僚管理,,nan,2018-06-26
3544904,stand-alone basis,单独报表基础,,nan,2018-06-26
3544905,stand-alone cost-allocation method,独支共同成本分摊法,,nan,2018-06-26
3544906,stand-alone derivative,单独衍生工具,,nan,2018-06-26
3544907,stand-alone entity,单独个体；单独企业,,nan,2018-06-26
3544908,stand-alone revenue-allocation method,独支收入分配法,,nan,2018-06-26
3544909,standard,标准,,nan,2018-06-26
3544910,standard cost,标准成本,,标准成本,2018-06-26
3544911,standard cost method,标准成本法,,nan,2018-06-26
3544912,standard cost records,标准成本纪录,,nan,2018-06-26
3544913,standard costing,标准成本法,,标准成本法,2018-06-26
3544914,standard error of the estimated coefficient,估计系数之标准差,,nan,2018-06-26
3544915,standard error of the regression,回归的标准误差,,nan,2018-06-26
3544916,standard input,标准投入,,nan,2018-06-26
3544917,standard price,标准价格,,nan,2018-06-26
3544918,standard unqualified audit report,标准式无保留意见之查核报告,,nan,2018-06-26
3544919,standard unqualified opinion,标准式无保留意见,,标准无保留意见,2018-06-26
3544920,stand-by credit facilities,担保信用额度,,nan,2018-06-26
3544921,Standing Interpretation Committee {=SIC},解释常务委员会,,nan,2018-06-26
3544922,start-up costs,开办费,,nan,2018-06-26
3544923,state-controlled entities,政府控制个体；政府控制企业,,nan,2018-06-26
3544924,statement of cash flows,现金流量表,,现金流量表,2018-06-26
3544925,statement of changes in equity,权益变动表,,所有者权益变动表,2018-06-26
3544926,statement of compliance with IFRSs,遵循国际财务报导准则之声明,,nan,2018-06-26
